id,relayid,sensorid,update_time,processed_status,start_index,end_index,index_len,width,peakvalue,other_peak,other_var
191,2,7,2017/07/18 16:12:02,0,96,350,2,183,8605,7727,789
192,2,7,2017/07/18 16:12:06,0,94,429,3,282,8564,6193,803
193,2,7,2017/07/18 16:12:10,0,95,205,2,87,7934,3970,826
194,2,7,2017/07/18 16:12:13,0,96,228,2,94,9247,3519,848
195,2,7,2017/07/18 16:12:17,0,95,281,2,125,16532,7960,984
196,2,7,2017/07/18 16:12:21,0,95,295,2,160,10572,2802,709
197,2,10,2017/07/18 16:14:31,0,94,236,2,101,17333,3488,777
198,2,10,2017/07/18 16:14:35,0,96,261,2,93,21112,7550,952
199,2,10,2017/07/18 16:14:39,0,92,259,2,129,14410,1775,601
200,2,10,2017/07/18 16:14:42,0,95,294,2,148,7832,3005,671
201,2,10,2017/07/18 16:14:46,0,95,221,2,102,8286,3053,775
202,2,10,2017/07/18 16:14:50,0,95,474,2,298,30923,23034,1238
203,2,10,2017/07/18 16:14:54,0,96,277,2,157,14564,5596,860
204,2,10,2017/07/18 16:14:58,0,96,282,2,126,24092,8586,796
205,2,10,2017/07/18 16:15:01,0,96,317,2,169,9895,4818,696
206,2,10,2017/07/18 16:15:05,0,96,390,2,222,21995,4069,701
207,2,10,2017/07/18 16:15:09,0,96,379,3,248,6805,1992,586
208,2,10,2017/07/18 16:15:13,0,95,305,2,143,24499,8691,824
209,2,10,2017/07/18 16:15:17,0,96,294,2,113,25044,9972,1015
210,2,10,2017/07/18 16:15:21,0,96,293,2,136,21748,8828,844
211,2,10,2017/07/18 16:15:24,0,95,193,2,71,4047,1442,526
212,2,10,2017/07/18 16:15:28,0,96,263,2,115,16408,5030,898
213,2,10,2017/07/18 16:15:32,0,96,265,2,92,19394,8184,952
214,2,10,2017/07/18 16:15:36,0,96,437,2,288,2890,1487,511
215,2,10,2017/07/18 16:15:40,0,96,269,2,109,23519,15162,1096
216,2,10,2017/07/18 16:15:43,0,96,285,2,111,21165,10472,1016
217,2,10,2017/07/18 16:15:47,0,96,266,2,135,11784,4522,752
218,2,10,2017/07/18 16:15:51,0,96,279,2,122,23635,6428,792
219,2,10,2017/07/18 16:15:55,0,96,301,2,137,20876,7844,771
220,2,10,2017/07/18 16:15:59,0,96,279,2,120,18470,9832,990
221,2,10,2017/07/18 16:16:02,0,95,241,2,80,17755,5579,921
222,2,10,2017/07/18 16:16:06,0,95,437,3,318,20002,4410,717
223,2,10,2017/07/18 16:16:10,0,95,397,3,279,7803,2558,717
224,2,10,2017/07/18 16:16:14,0,84,224,2,126,2559,1964,482
