time,acc_x,acc_y,acc_z,gyo_x,gyo_y,gyo_z
2017-01-13_14:46:03.589,-32,-79,3913,-117,-40,-20
2017-01-13_14:46:03.593,-31,-67,3935,-96,-34,-37
2017-01-13_14:46:03.597,-57,-78,3923,-91,-2,-16
2017-01-13_14:46:03.600,-31,-79,3915,-74,-20,-245
2017-01-13_14:46:03.604,-18,-75,3902,-131,-26,238
2017-01-13_14:46:03.607,-28,-82,3938,-123,-22,-17
2017-01-13_14:46:03.611,-42,-63,3940,-115,-17,-3
2017-01-13_14:46:03.614,-56,-80,3920,-123,-55,231
2017-01-13_14:46:03.618,-28,-66,3914,-92,-42,-9
2017-01-13_14:46:03.621,-37,-58,3908,-84,-23,-5
2017-01-13_14:46:03.625,-33,-53,3953,-86,-26,-9
2017-01-13_14:46:03.629,-28,-44,3929,-110,-34,-249
2017-01-13_14:46:03.632,-27,-44,3921,-109,-35,-29
2017-01-13_14:46:03.636,-42,-60,3966,-137,-9,-27
2017-01-13_14:46:03.639,-4,-64,3910,-70,-34,-27
2017-01-13_14:46:03.643,-63,-84,3887,-90,-28,-256
2017-01-13_14:46:03.646,-36,-68,3931,-109,-23,-248
2017-01-13_14:46:03.650,-42,-84,3936,-121,-29,-44
2017-01-13_14:46:03.654,-30,-91,3913,-136,-37,-16
2017-01-13_14:46:03.658,-35,-61,3937,-122,-33,-31
2017-01-13_14:46:03.661,-26,-70,3945,-109,-28,-12
2017-01-13_14:46:03.665,-23,-64,3936,-97,-39,-13
2017-01-13_14:46:03.668,-42,-72,3927,-86,-14,-13
2017-01-13_14:46:03.672,-35,-48,3913,-123,-24,-9
2017-01-13_14:46:03.675,-32,-78,3916,-109,-1,-43
2017-01-13_14:46:03.679,-35,-78,3952,-119,-26,-46
2017-01-13_14:46:03.682,-39,-60,3933,-77,-11,221
2017-01-13_14:46:03.686,-73,-80,3919,-103,-32,-253
2017-01-13_14:46:03.689,-60,-83,3935,-90,-27,-13
2017-01-13_14:46:03.693,-22,-42,3944,-112,-37,-19
2017-01-13_14:46:03.697,-23,-71,3935,-112,-32,-55
2017-01-13_14:46:03.700,2,-91,3903,-128,-57,-50
2017-01-13_14:46:03.704,-70,-72,3951,-65,-26,-252
2017-01-13_14:46:03.707,-23,-97,3935,-73,-45,-16
2017-01-13_14:46:03.711,-33,-88,3932,-79,-34,-8
2017-01-13_14:46:03.714,-28,-74,3918,-129,-45,-22
2017-01-13_14:46:03.718,-59,-55,3943,-122,-33,-21
2017-01-13_14:46:03.721,-54,-59,3940,-122,-44,-8
2017-01-13_14:46:03.725,-28,-57,3950,-79,-47,-32
2017-01-13_14:46:03.729,-14,-64,3922,-85,-41,-25
2017-01-13_14:46:03.732,-49,-70,3938,-97,-25,-17
2017-01-13_14:46:03.736,-13,-71,3925,-127,-1,-38
2017-01-13_14:46:03.739,-44,-63,3914,-131,-12,-27
2017-01-13_14:46:03.743,-18,-56,3957,-111,-249,-8
2017-01-13_14:46:03.747,-81,-83,3968,-88,-9,-23
2017-01-13_14:46:03.750,-29,-144,4028,-85,-11,-4
2017-01-13_14:46:03.754,-123,-46,3955,-84,-16,-18
2017-01-13_14:46:03.758,-48,-72,4001,-133,187,-36
2017-01-13_14:46:03.761,-74,-113,4003,-113,-2,-7
2017-01-13_14:46:03.765,124,-77,3991,-120,-21,-27
2017-01-13_14:46:03.768,-12,-74,3995,-85,-31,-58
2017-01-13_14:46:03.771,-27,-135,4040,-91,229,-35
2017-01-13_14:46:03.775,66,-81,3986,-92,-21,-35
2017-01-13_14:46:03.779,17,-51,4028,-97,-31,-31
2017-01-13_14:46:03.782,0,-83,3903,-142,-35,-51
2017-01-13_14:46:03.786,9,-28,3935,-90,-53,-16
2017-01-13_14:46:03.789,28,-34,3954,-65,-20,-79
2017-01-13_14:46:03.793,53,-110,3933,-104,-44,-8
2017-01-13_14:46:03.797,34,-59,3940,-97,-44,-37
2017-01-13_14:46:03.800,47,-54,3854,-128,-31,-27
2017-01-13_14:46:03.804,68,-53,3954,-127,-48,-40
2017-01-13_14:46:03.807,-237,-81,3861,-91,-54,-21
2017-01-13_14:46:03.811,-9,-49,3906,-86,-249,-11
2017-01-13_14:46:03.814,6,-80,3911,-68,-31,-205
2017-01-13_14:46:03.818,-37,-92,3879,-101,-5,207
2017-01-13_14:46:03.822,-42,-69,3893,-119,-57,6
2017-01-13_14:46:03.825,57,-21,3868,-135,-237,63
2017-01-13_14:46:03.829,-2,-135,3951,-88,-68,-6
2017-01-13_14:46:03.832,-9,-61,3922,-117,-255,-59
2017-01-13_14:46:03.837,-18,-88,3918,-65,-63,-18
2017-01-13_14:46:03.840,-6,-63,3922,-85,-11,171
2017-01-13_14:46:03.844,-98,-72,3943,-154,-82,-58
2017-01-13_14:46:03.847,-5,-73,3956,-140,-51,-246
2017-01-13_14:46:03.851,-64,-29,3908,-104,-64,-31
2017-01-13_14:46:03.855,48,-85,3899,-78,-115,-38
2017-01-13_14:46:03.858,122,-135,4040,-67,-42,226
2017-01-13_14:46:03.862,115,-59,3893,-103,-55,-10
2017-01-13_14:46:03.865,72,-37,3914,-138,-25,-21
2017-01-13_14:46:03.869,-234,-60,3825,-125,-26,-47
2017-01-13_14:46:03.872,32,-103,3870,-105,-63,-29
2017-01-13_14:46:03.875,81,-57,3688,-66,-34,-40
2017-01-13_14:46:03.880,2,-54,3833,-60,-55,-34
2017-01-13_14:46:03.883,21,-91,3872,-85,-66,-12
2017-01-13_14:46:03.887,-248,-53,3880,-105,-49,4
2017-01-13_14:46:03.889,-15,-57,3830,-112,-47,-30
2017-01-13_14:46:03.893,-22,-49,3864,-90,-45,-8
2017-01-13_14:46:03.898,-133,-72,3870,-71,-37,-20
2017-01-13_14:46:03.901,-24,-93,3856,-63,-21,-20
2017-01-13_14:46:03.904,-101,-63,3869,-101,-41,-1
2017-01-13_14:46:03.908,-83,-40,3826,-125,-24,-28
2017-01-13_14:46:03.912,-32,-77,3940,-114,-45,-32
2017-01-13_14:46:03.916,-99,-75,3878,-112,-45,-3
2017-01-13_14:46:03.919,-74,-80,3861,-70,-24,-13
2017-01-13_14:46:03.923,-61,-60,3908,-70,-36,-9
2017-01-13_14:46:03.926,-87,-68,3858,-109,-43,-36
2017-01-13_14:46:03.930,-11,-59,3912,-130,-41,-43
2017-01-13_14:46:03.933,-105,-70,3875,-139,-56,-25
2017-01-13_14:46:03.937,-43,-44,3904,-87,-43,-38
2017-01-13_14:46:03.941,-135,-84,3874,-66,-60,-43
2017-01-13_14:46:03.944,-59,-66,3871,-83,-35,-33
2017-01-13_14:46:03.948,-85,-37,3916,-109,-61,-31
2017-01-13_14:46:03.951,-114,-74,3911,-116,-21,-26
2017-01-13_14:46:03.955,-60,-129,3930,-121,-56,-17
2017-01-13_14:46:03.958,-164,-63,3918,-80,-69,-47
2017-01-13_14:46:03.962,-118,-64,3907,-59,-45,-23
2017-01-13_14:46:03.966,-124,-72,3950,-58,-57,-22
2017-01-13_14:46:03.969,-112,-107,3916,-80,-31,-27
2017-01-13_14:46:03.973,-73,-120,3993,-123,-66,-17
2017-01-13_14:46:03.976,-85,-74,3962,-100,-58,-35
2017-01-13_14:46:03.980,-49,-96,3968,-64,-75,-40
2017-01-13_14:46:03.983,-40,-123,4015,-48,-45,-31
2017-01-13_14:46:03.987,-52,-73,3917,-49,-48,-40
2017-01-13_14:46:03.991,0,-40,3934,-84,-44,-55
2017-01-13_14:46:03.994,-32,-35,3980,-95,-52,-13
2017-01-13_14:46:03.998,202,-20,3919,-126,-39,-30
2017-01-13_14:46:04.001,-9,-31,3933,-84,-45,-35
2017-01-13_14:46:04.005,-48,-73,3924,-43,-38,-16
2017-01-13_14:46:04.008,-9,-62,3934,-59,-39,-31
2017-01-13_14:46:04.012,-71,-21,3899,-101,-33,-33
2017-01-13_14:46:04.016,-56,-52,3908,-113,-46,-18
2017-01-13_14:46:04.019,-36,-20,3910,-135,-63,-18
2017-01-13_14:46:04.023,-8,-38,3872,-95,-43,-57
2017-01-13_14:46:04.026,-23,-18,3902,-103,-42,-20
2017-01-13_14:46:04.030,-54,-44,3944,-98,-41,-28
2017-01-13_14:46:04.033,-42,-70,3969,-131,-66,-17
2017-01-13_14:46:04.037,-114,-137,3937,-116,-57,-29
2017-01-13_14:46:04.040,-90,-155,3978,-113,-84,-32
2017-01-13_14:46:04.044,-104,-155,3969,-49,-79,-36
2017-01-13_14:46:04.047,-27,-76,3921,-61,-73,-28
2017-01-13_14:46:04.051,-8,-63,3924,-51,-66,-43
2017-01-13_14:46:04.055,25,-74,3908,-66,-58,-248
2017-01-13_14:46:04.058,246,-21,3913,-91,-45,-34
2017-01-13_14:46:04.062,4,-20,3915,-97,-36,-38
2017-01-13_14:46:04.066,-32,-9,3898,-79,-13,-45
2017-01-13_14:46:04.069,6,-3,3917,-67,-33,-21
2017-01-13_14:46:04.072,0,12,3891,-86,-29,-29
2017-01-13_14:46:04.076,34,-2,3907,-127,-15,-13
2017-01-13_14:46:04.079,-25,-31,3897,-123,-13,-5
2017-01-13_14:46:04.084,-51,-35,3946,-125,-34,-32
